"band";"importance";"glass"
"B775";0,172379912934595;"Brown"
"G1260";0,172176345956874;"Glass"
"B1417";0,172116844827829;"Brown"
"G689";0,17199648467443;"Glass"
"G1473";0,171882492777484;"Glass"
"B784";0,17182814700386;"Brown"
"G770";0,171760399029005;"Glass"
"B1455";0,17175755057861;"Brown"
"G1231";0,171657860129564;"Glass"
"B1635";0,171313449944964;"Brown"
"G2085";0,171164908433111;"Glass"
"B1821";0,171110358303526;"Brown"
"B1319";0,170967938114845;"Brown"
"G1151";0,170909501215416;"Glass"
"G810";0,170826940923789;"Glass"
"G650";0,170766411834925;"Glass"
"G1629";0,170435755306902;"Glass"
"G1007";0,170411564004979;"Glass"
"G1972";0,170292717031217;"Glass"
"G1604";0,170158422978622;"Glass"
"G1853";0,169919323228444;"Glass"
"G755";0,169508722249274;"Glass"
"B1219";0,168368829700403;"Brown"
"B1451";0,16834920724468;"Brown"
"G1535";0,16811383855276;"Glass"
"B1366";0,168105274759708;"Brown"
"B1649";0,16808968400513;"Brown"
"G1298";0,167665490779421;"Glass"
"B1726";0,167573925403628;"Brown"
"G1545";0,167440100172779;"Glass"
"B1298";0,166871479623104;"Brown"
"B1985";0,166502596745725;"Brown"
"B843";0,166454344989672;"Brown"
"G2086";0,166410198120962;"Glass"
"G1542";0,166121748757369;"Glass"
"G900";0,166106337904275;"Glass"
"B900";0,165472016482621;"Brown"
"G1114";0,165289328817747;"Glass"
"G879";0,165222299553787;"Glass"
"B1110";0,165199226370046;"Brown"
"G1094";0,165181467353383;"Glass"
"G1360";0,16506209861695;"Glass"
"G1975";0,164557247839884;"Glass"
"G1817";0,164556772729486;"Glass"
"G1428";0,16448283236118;"Glass"
"G1471";0,164172020072692;"Glass"
"G1818";0,163787896852452;"Glass"
"G598";0,163645370890502;"Glass"
"B1841";0,163561966952298;"Brown"
"G1658";0,163467525007089;"Glass"
"B1101";0,163372085561252;"Brown"
"B1291";0,163339766582444;"Brown"
"G1005";0,163308422275002;"Glass"
"B1150";0,163143195344116;"Brown"
"B1746";0,163079830897431;"Brown"
"B1479";0,163028945545352;"Brown"
"G1451";0,162955653690536;"Glass"
"B1881";0,16282369865243;"Brown"
"G784";0,162725226524206;"Glass"
"B1836";0,162721476351456;"Brown"
"G718";0,162554092146104;"Glass"
"B1429";0,162529428437106;"Brown"
"B1114";0,162511007047104;"Brown"
"G1065";0,162471324337908;"Glass"
"G1430";0,1624397047195;"Glass"
"G1397";0,162438854250875;"Glass"
"G1057";0,162403980894439;"Glass"
"G1463";0,162341660724712;"Glass"
"B1373";0,162025377109803;"Brown"
"B1245";0,161904900298956;"Brown"
"G541";0,161605188887286;"Glass"
"B1290";0,161501596090752;"Brown"
"G812";0,161465042054549;"Glass"
"B1385";0,161174835622343;"Brown"
"B603";0,161109635823616;"Brown"
"B1537";0,160962879713194;"Brown"
"G1870";0,160958499649128;"Glass"
"G719";0,160949354486318;"Glass"
"G1408";0,160916466115632;"Glass"
"G2022";0,160841150589307;"Glass"
"B2041";0,160834884379169;"Brown"
"G721";0,160824741470383;"Glass"
"B1228";0,160727898500863;"Brown"
"B1428";0,160720552817896;"Brown"
"B2019";0,160656979512747;"Brown"
"G1145";0,160613103920007;"Glass"
"G1706";0,160525875551027;"Glass"
"G1417";0,160459314252665;"Glass"
"B1533";0,159812856818098;"Brown"
"B1246";0,159801534390333;"Brown"
"B1837";0,159735704450753;"Brown"
"B1167";0,159708829253599;"Brown"
"B1658";0,159664193135347;"Brown"
"B1427";0,159583949842494;"Brown"
"G1302";0,159415529955666;"Glass"
"G1563";0,158949270925671;"Glass"
"G1278";0,158857992978442;"Glass"
"G903";0,158836072791188;"Glass"
"B1168";0,158524972653394;"Brown"
"B1522";0,158443884617798;"Brown"
"B1229";0,158383222152072;"Brown"
"G524";0,158366265820462;"Glass"
"B1170";0,158348810274846;"Brown"
"B2086";0,158188754241911;"Brown"
"G782";0,158170076722815;"Glass"
"B897";0,158123004105978;"Brown"
"B1151";0,157977187557789;"Brown"
"G2019";0,157948666722655;"Glass"
"G648";0,157948336491171;"Glass"
"G1265";0,157820928975378;"Glass"
"B998";0,157573160076084;"Brown"
"G1803";0,157368124864637;"Glass"
"G1982";0,157183071688239;"Glass"
"G731";0,156876698333679;"Glass"
"G1676";0,156801889650427;"Glass"
"G1747";0,156714313194098;"Glass"
"G1344";0,156702850233321;"Glass"
"G971";0,156675518132661;"Glass"
"B1957";0,156551561097922;"Brown"
"G1852";0,156517244383856;"Glass"
"G1916";0,156402590093988;"Glass"
"G577";0,15631287296673;"Glass"
"G729";0,155984822042122;"Glass"
"G1213";0,155719922883514;"Glass"
"G1233";0,155572935709966;"Glass"
"B1473";0,155543445162168;"Brown"
"G1945";0,15543297399053;"Glass"
"G694";0,155282830623476;"Glass"
"G1434";0,154739876886729;"Glass"
"G1090";0,154611429056429;"Glass"
"G496";0,154446276445865;"Glass"
"B1315";0,154356333377274;"Brown"
"B1585";0,154148305891288;"Brown"
"G1258";0,154109731360333;"Glass"
"B1378";0,153953772858326;"Brown"
"G1283";0,153948894200093;"Glass"
"G1735";0,153766591108696;"Glass"
"G1519";0,153716412593598;"Glass"
"G1332";0,15369745007441;"Glass"
"B1157";0,153568426472954;"Brown"
"G1305";0,153485173517583;"Glass"
"B1260";0,153446968558914;"Brown"
"B1958";0,153420334357746;"Brown"
"B711";0,153418219197982;"Brown"
"G1170";0,153402037834017;"Glass"
"G1008";0,153207592154264;"Glass"
"G1737";0,153180756347018;"Glass"
"G1543";0,153087630648921;"Glass"
"G1374";0,152906710017807;"Glass"
"B1813";0,152888367283478;"Brown"
"B812";0,152886352356288;"Brown"
"B1458";0,152665508577097;"Brown"
"G1584";0,152480129552642;"Glass"
"B1945";0,15237218353183;"Brown"
"G1230";0,152198915017544;"Glass"
"G1781";0,152197577095634;"Glass"
"B908";0,152121612750038;"Brown"
"G2088";0,152095049370603;"Glass"
"G1881";0,152028799713966;"Glass"
"B1706";0,151988768115942;"Brown"
"B1545";0,151789696368666;"Brown"
"G1564";0,15167305089368;"Glass"
"G1218";0,151630319165363;"Glass"
"G1238";0,151447514586815;"Glass"
"G432";0,151217853349766;"Glass"
"B996";0,151038554031499;"Brown"
"B1616";0,150980905109589;"Brown"
"B1784";0,150786528684269;"Brown"
"B1629";0,150745434120885;"Brown"
"G965";0,150721179000626;"Glass"
"B1591";0,150554634827257;"Brown"
"B1277";0,150428475190269;"Brown"
"G1375";0,15024559854511;"Glass"
"G1572";0,150112934558192;"Glass"
"G1821";0,150036981900547;"Glass"
"B1214";0,149680414021971;"Brown"
"G1582";0,14964682621611;"Glass"
"B911";0,149206520328908;"Brown"
"B1838";0,149205268142868;"Brown"
"G1246";0,149162477981728;"Glass"
"B1278";0,148956516884397;"Brown"
"G1250";0,148646444086605;"Glass"
"B1870";0,148566846988069;"Brown"
"B1279";0,148466155040792;"Brown"
"B1935";0,148301440534693;"Brown"
"G1634";0,148065556630485;"Glass"
"G1677";0,148002217280384;"Glass"
"B1408";0,147970926346756;"Brown"
"G1588";0,147928586398609;"Glass"
"G1336";0,147689000904329;"Glass"
"B578";0,147672866409664;"Brown"
"G1010";0,147599878717741;"Glass"
"G712";0,147572189712204;"Glass"
"G908";0,14752099328075;"Glass"
"G1670";0,147439855471044;"Glass"
"B2000";0,147061253689938;"Brown"
"G2033";0,146906480924482;"Glass"
"G1286";0,146887907823988;"Glass"
"G1761";0,146856426352082;"Glass"
"G1653";0,146732905641364;"Glass"
"G1337";0,146718997719163;"Glass"
"G1773";0,146652976974716;"Glass"
"G826";0,14649397102772;"Glass"
"G1076";0,146318680458334;"Glass"
"G769";0,146318357915811;"Glass"
